测试时间/Sec,电流/A,容量/Ah,SOC|DOD/%,电压/V,Unnamed: 5,测试时间/Sec.1,电流/A.1,容量/Ah.1,SOC|DOD/%.1,电压/V.1
0.0,2.60603,0.0,0.0,3.483383,,4172.0,0.0,2.56637,100.0,4.108680291303241
1.0,2.60417,0.00079,0.0308,3.486483,,4173.0,0.0,2.56637,100.0,4.23250065794021
2.0,2.60603,0.00155,0.0604,3.491754,,4174.0,0.0,2.56637,100.0,4.251611503396604
3.0,2.60417,0.00232,0.0903,3.496404,,4176.0,0.0,2.56637,100.0,4.172775267384188
4.0,2.60417,0.00308,0.1201,3.499814,,4177.0,0.0,2.56637,100.0,4.158080517416304
5.0,2.60417,0.00384,0.1497,3.503534,,4178.0,0.0,2.56637,100.0,4.189712468790139
6.0,2.60603,0.00461,0.1796,3.506634,,4179.0,0.0,2.56637,100.0,4.201997964154896
7.0,2.60417,0.00538,0.2095,3.509735,,4180.0,0.0,2.56637,100.0,4.227670599221205
8.0,2.60417,0.00614,0.2391,3.512525,,4181.0,0.0,2.56637,100.0,4.186773420160504
10.0,2.60417,0.0069,0.269,3.515005,,4182.0,0.0,2.56637,100.0,4.1331626499361995
11.0,2.60231,0.00767,0.2989,3.517795,,4183.0,0.0,2.56637,100.0,4.153465159234935
12.0,2.60417,0.00844,0.3288,3.520275,,4184.0,0.0,2.56637,100.0,4.256621242503028
13.0,2.60603,0.0092,0.3586,3.522755,,4185.0,0.0,2.56637,100.0,4.183907298747792
14.0,2.60603,0.00996,0.3883,3.524926,,4186.0,0.0,2.56637,100.0,4.183318972387925
15.0,2.60603,0.0107,0.417,3.527096,,4187.0,0.0,2.56637,100.0,4.197412355274821
16.0,2.60603,0.01139,0.4438,3.528956,,4188.0,0.0,2.56637,100.0,4.27662805091928
17.0,2.60603,0.01216,0.4737,3.531126,,4189.0,0.0,2.56637,100.0,4.245981486299484
18.0,2.60603,0.01292,0.5036,3.533296,,4190.0,0.0,2.56637,100.0,4.142736143529639
19.0,2.60603,0.01369,0.5335,3.535156,,4190.0,0.0,2.56637,100.0,4.148920710785217
20.0,2.60603,0.01445,0.5631,3.537016,,,,,,
21.0,2.60417,0.01512,0.5893,3.539186,,4190.0,-0.67336,0.0,0.0,4.2291957042636605
22.0,2.60603,0.01589,0.6192,3.541047,,4191.0,-0.67522,0.00019,1.9902,4.132731168948393
23.0,2.60417,0.01666,0.6491,3.542597,,4192.0,-0.67522,0.00039,4.0173,4.0944780065517135
24.0,2.60417,0.01742,0.6787,3.544147,,4193.0,-0.67522,0.00059,6.0497,4.149613042971724
25.0,2.60417,0.01818,0.7085,3.546007,,4194.0,-0.67522,0.00079,8.0821,4.2381290728122005
26.0,2.60603,0.01894,0.7379,3.547557,,4195.0,-0.67522,0.00099,10.1093,4.206695449755595
27.0,2.60231,0.01961,0.7641,3.548797,,4196.0,-0.67522,0.00119,12.1417,4.130497613162549
28.0,2.60417,0.0204,0.7951,3.550347,,4197.0,-0.67522,0.00137,13.9629,4.074951055130132
29.0,2.60417,0.02117,0.825,3.551897,,4198.0,-0.67522,0.00157,16.0323,4.043829950428976
30.0,2.60417,0.02193,0.8546,3.553137,,4199.0,-0.67522,0.00177,18.0594,4.1326797698672575
31.0,2.60417,0.0226,0.8808,3.554378,,4200.0,-0.67522,0.00197,20.0919,4.179906115847606
32.0,2.60603,0.02346,0.9141,3.555618,,4201.0,-0.67522,0.00217,22.1243,4.146041472923301
33.0,2.60603,0.02416,0.9414,3.556858,,4202.0,-0.67522,0.00236,24.1567,4.107006695153087
35.0,2.60603,0.02497,0.973,3.558098,,4203.0,-0.67522,0.00256,26.1838,4.095921681193537
36.0,2.60603,0.02572,1.0023,3.559338,,4204.0,-0.67522,0.00275,28.0631,4.153656208745767
37.0,2.60231,0.02649,1.0322,3.560578,,4205.0,-0.67522,0.00294,30.0533,4.113158972901225
38.0,2.60603,0.02724,1.0612,3.561508,,4206.0,-0.67522,0.00315,32.1649,4.078688102178072
39.0,2.60603,0.028,1.0911,3.562748,,4207.0,-0.67522,0.00334,34.1393,4.190581465074275
40.0,2.60231,0.02877,1.121,3.563368,,4208.0,-0.67336,0.00354,36.1664,4.096354016027821
41.0,2.60417,0.02948,1.1486,3.564298,,4209.0,-0.67522,0.00375,38.2938,4.0470752227233335
42.0,2.60231,0.03025,1.1788,3.565228,,4211.0,-0.67522,0.00393,40.1151,4.07538256937788
43.0,2.60603,0.03102,1.2087,3.565228,,4212.0,-0.67522,0.00413,42.1475,4.066155698655342
44.0,2.60417,0.03179,1.2386,3.566158,,4213.0,-0.67522,0.00432,44.1746,4.157038754530385
45.0,2.60417,0.03255,1.2685,3.567088,,4214.0,-0.67522,0.00451,46.054,4.108345589779323
46.0,2.60603,0.03331,1.2981,3.567708,,4215.0,-0.67522,0.0047,47.9702,4.093010805667143
47.0,2.60045,0.03399,1.3243,3.568949,,4216.0,-0.67522,0.00489,50.0026,4.101394386583861
48.0,2.60231,0.03475,1.3542,3.561818,,4217.0,-0.67522,0.00509,52.0298,4.102175350112864
49.0,2.60603,0.03553,1.3843,3.561818,,4218.0,-0.67522,0.00524,53.5448,4.086809535969911
50.0,2.60417,0.03627,1.4131,3.562438,,4218.0,-1.34673,0.00524,53.5448,4.0908727734771855
51.0,2.60231,0.03695,1.4399,3.563368,,4219.0,-1.35231,0.00565,57.7628,4.127286407158473
52.0,2.60603,0.03775,1.4709,3.563058,,4220.0,-1.35417,0.00603,61.6375,4.1704497493818184
53.0,2.60603,0.03851,1.5005,3.563678,,4221.0,-1.35231,0.00642,65.6232,4.073434726039129
54.0,2.60603,0.03918,1.5267,3.564608,,4222.0,-1.35417,0.00684,69.8464,4.106348087057996
55.0,2.60417,0.03995,1.5566,3.566158,,4223.0,-1.35231,0.0072,73.605,4.058468729025518
56.0,2.60603,0.04071,1.5865,3.568638,,4224.0,-1.35231,0.0076,77.6699,4.079663916977027
57.0,2.60603,0.0415,1.6172,3.568638,,4225.0,-1.35045,0.008,81.74,4.032665171892954
58.0,2.60417,0.04218,1.6434,3.568328,,4226.0,-1.35417,0.0084,85.8048,3.98581888586938
59.0,2.60417,0.04294,1.6733,3.570498,,4227.0,-1.35045,0.0088,89.8749,4.106594244268592
60.0,2.60603,0.04371,1.7032,3.570498,,4228.0,-1.35231,0.00918,93.8236,4.05250615029388
61.0,2.60417,0.04447,1.7328,3.571119,,4229.0,-1.35045,0.00957,97.7406,4.164147159985156
63.0,2.60603,0.04524,1.7627,3.572359,,4230.0,-1.34859,0.00979,100.0,4.106052232275263
64.0,2.60603,0.046,1.7926,3.572359,,4230.0,-1.34859,0.00979,100.0,4.090081212418733
65.0,2.60603,0.04676,1.8222,3.572669,,,,,,
66.0,2.60417,0.04753,1.8521,3.575459,,4230.0,0.66778,0.0,0.0,4.1805943692905885
67.0,2.60417,0.0483,1.8819,3.574219,,4231.0,0.66964,0.00018,12.274,4.134322101559564
